trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
617,False,"{'a': 0.25, 'e': 0.04537752660798141}",30,11,32.561872169261676,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
618,False,"{'a': 0.25, 'e': 0.0451506389749415}",20,0,33.76420298835542,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
619,False,"{'a': 0.25, 'e': 0.044924885780066794}",20,9,21.263571880258386,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
620,False,"{'a': 0.25, 'e': 0.04470026135116646}",30,16,0.32832724835725924,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
621,False,"{'a': 0.25, 'e': 0.04447676004441063}",25,7,27.64489059260919,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
622,False,"{'a': 0.25, 'e': 0.04425437624418858}",30,19,7.158740449681362,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
623,False,"{'a': 0.25, 'e': 0.04403310436296763}",25,13,12.363251200640816,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
624,False,"{'a': 0.25, 'e': 0.043812938841152796}",30,24,9.157018101915288,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
625,False,"{'a': 0.25, 'e': 0.04359387414694703}",25,11,23.45140802273732,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
626,False,"{'a': 0.25, 'e': 0.043375904776212296}",20,12,12.412909050615337,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
627,False,"{'a': 0.25, 'e': 0.043159025252331236}",25,12,17.457027006326406,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
628,False,"{'a': 0.25, 'e': 0.04294323012606958}",25,18,12.049445223886483,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
629,False,"{'a': 0.25, 'e': 0.04272851397543923}",25,10,26.029703445580473,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
630,False,"{'a': 0.25, 'e': 0.04251487140556204}",20,15,9.484292908950275,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
631,False,"{'a': 0.25, 'e': 0.04230229704853423}",20,6,25.0813200549277,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
632,False,"{'a': 0.25, 'e': 0.04209078556329156}",20,0,19.25783174889051,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
633,False,"{'a': 0.25, 'e': 0.0418803316354751}",20,1,30.975902326905462,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
634,False,"{'a': 0.25, 'e': 0.041670929977297724}",20,0,31.105044116893588,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
